10	17.2	14	90	60	14	4	M12	16	18	15	30	30	4	22	0
15	21.3	18	95	65	14	4	M12	16	22.5	19	35	35	4	22	0
20	26.9	25	105	75	14	4	M12	18	27.5	26	45	45	4	26	0
25	33.7	32	115	85	14	4	M12	18	34.5	33	52	52	4	28	0
32	43.4	38	140	100	18	4	M16	18	32.5	39	60	60	6	30	0
40	48.3	45	150	110	18	4	M16	18	49.5	46	70	70	6	32	0
50	60.3	57	165	125	18	4	M16	18	61.5	59	84	84	5	28	0
65	76.1	76	185	145	18	8	M16	18	77.5	78	104	104	6	32	0
80	88.9	89	200	160	18	8	M16	20	90.5	91	118	118	6	34	0
100	114.3	108	220	180	18	8	M16	20	116	110	140	140	8	40	0
125	139.7	133	250	210	18	8	M16	22	143.5	135	168	168	8	44	0
150	168.3	159	285	240	22	8	M20	22	170.5	161	195	195	10	44	0
200	219.1	219	340	295	22	8	M20	24	221.5	222	246	246	10	44	0
250	273	273	395	350	22	12	M20	26	276.5	276	298	298	12	46	0
300	323.9	325	445	400	22	12	M20	26	328	328	350	350	12	46	0
350	355.6	377	505	460	22	16	M20	26	360	381	400	412	12	53	0
400	406.4	426	565	515	26	16	M24	26	411	430	456	475	12	57	0
450	457	480	615	565	26	20	M24	28	462	485	502	525	12	63	12
500	508	530	670	620	26	20	M24	28	513.5	535	559	581	12	67	12
600	610	630	780	725	30	20	M27	28	616.5	636	658	678	12	75	12
