10	17.2	14	100	70	14	4	M12	20	32	32	1.8	6	4	45
15	21.3	18	105	75	14	4	M12	20	34	34	2.0	6	4	45
20	26.9	25	130	90	18	4	M16	22	42	42	2.6	8	4	48
25	33.7	32	140	100	18	4	M16	24	52	52	2.6	8	4	58
32	42.4	38	155	110	22	4	M20	24	62	62	2.9	8	6	60
40	48.3	45	170	125	22	4	M20	26	70	70	2.9	10	6	62
50	60.3	57	180	135	22	4	M20	26	82	82	2.9	10	6	62
65	76.1	76	205	160	22	8	M20	26	98	98	3.2	12	6	68
80	89.9	89	215	170	22	8	M20	28	112	112	3.6	12	8	72
100	114.3	108	250	200	26	8	M24	30	138	138	4.0	12	8	78
125	139.7	133	295	240	30	8	M27	34	168	168	4.5	12	8	88
150	168.3	159	345	280	33	8	M30	36	202	202	5.6	12	10	95
200	219.1	219	415	345	36	12	M33	42	256	256	7.1	16	10	110
250	273	273	470	400	36	12	M33	46	316	316	8.8	18	12	125
300	323.9	325	530	460	36	16	M33	52	372	372	11.0	18	12	140
350	355.6	377	600	525	39	16	M36¡Á3	56	420	442	12.5	20	12	150
400	406.4	426	670	585	42	16	M39¡Á3	60	475	495	14.2	20	12	160
