10	0.6	0.5	0.5	0.5	0.5	0.5	0.04	0.5	0.5	1.0	-	-	-
15	0.5	0.5	1.0	0.5	0.5	0.5	0.06	0.5	0.5	1.0	-	-	-
20	1.0	1.0	1.0	1.0	1.0	1.0	0.09	1.0	0.5	1.0	-	-	-
25	1.0	1.5	1.0	1.5	1.5	1.0	0.14	1.0	0.5	1.5	-	-	-
32	2.0	2.0	2.0	2.0	2.0	2.0	0.18	2.0	0.5	2.0	-	-	-
40	2.0	2.0	2.0	2.0	2.0	2.0	0.22	2.0	0.5	2.5	2.4	0.13	0.43
50	2.5	2.5	2.5	2.5	2.5	2.5	0.32	2.5	1.0	3.0	3.24	0.18	0.60
65	3.0	3.0	3.0	-	3.0	3.0	0.41	3.0	1.0	3.5	4.1	0.26	0.87
80	3.5	4.0	4.0	-	4.0	3.5	0.56	3.5	1.0	4.5	4.6	0.33	1.11
100	4.5	4.5	4.5	-	4.5	4.5	0.78	4.5	1.5	5.5	6.2	0.45	1.50
125	5.5	6.5	6.5	-	6.5	5.5	1.13	5.5	1.5	8.0	8.2	0.63	2.09
150	7.0	7.5	7.5	-	7.5	7.0	1.46	7.0	2.0	10.5	11.4	0.82	2.72
200	9.5	10.0	11.0	-	-	9.5	2.98	9.5	3.0	16.5	16.2	1.74	4.36
250	14.0	14.0	16.5	-	-	14.0	3.98	14.0	3.5	25.0	25.0	2.52	6.31
300	19.0	18.0	22.0	-	-	18.5	5.99	18.5	5.5	35.0	35.1	4.31	8.62
350	28.0	28.5	32.0	-	-	27.5	8.42	27.5	10.0	48.0	48.0	5.80	11.6
400	36.0	36.5	40.0	-	-	35.0	10.38	35.0	12.5	63.5	63.5	7.25	14.5
450	46.0	49.5	54.5	-	-	45.0	12.33	45.0	16.5	96.5	86.9	9.15	18.3
500	64.0	68.5	74.0	-	-	65.0	14.50	65.0	21.5	133.0	108.6	13.6	22.7
600	96.0	107.5	116.5	-	-	94.0	20.72	94.0	28.5	226.5	184.3	19.1	31.8
700	-	-	87.0	-	-	-	-	-	-	236.0	-	-	-
800	-	-	87.0	-	-	-	-	-	-	325.0	-	-	-
900	-	-	129.0	-	-	-	-	-	-	437.5	-	-	-
1000	-	-	169.0	-	-	-	-	-	-	602.0	-	-	-
1200	-	-	251.0	-	-	-	-	-	-	999.0	-	-	-
1400	-	-	329.0	-	-	-	-	-	-	-	-	-	-
1600	-	-	476.0	-	-	-	-	-	-	-	-	-	-
1800	-	-	582.0	-	-	-	-	-	-	-	-	-	-
2000	-	-	720.0	-	-	-	-	-	-	-	-	-	-
