10	17.2	14	90	60	14	4	M12	16	18	15	30	30	4	22	4
15	21.3	18	95	65	14	4	M12	16	22.5	19	35	35	4	22	4
20	26.9	25	105	75	14	4	M12	18	27.5	26	45	45	4	26	4
25	33.7	32	115	85	14	4	M12	18	34.5	33	52	52	4	28	5
32	42.4	38	140	100	18	4	M16	18	43.5	39	60	60	6	30	5
40	48.3	45	150	110	18	4	M16	18	49.5	46	70	70	6	32	5
50	60.3	57	165	125	18	4	M16	20	61.5	59	84	84	6	34	5
65	76.1	76	185	145	18	8	M16	22	77.5	78	104	104	6	38	6
80	88.9	89	200	160	18	8	M16	24	90.5	91	118	118	8	40	6
100	114.3	108	235	190	22	8	M20	24	116	110	145	145	8	44	6
125	139.7	133	270	220	26	8	M24	26	143.5	135	170	170	8	48	7
150	168.3	159	300	250	26	8	M24	28	170.5	161	200	200	10	52	8
200	219.1	219	375	320	30	12	M27	34	221.5	222	260	260	10	52	10
250	273	273	450	385	33	12	M30	38	276.5	276	312	312	12	60	11
300	323.9	325	515	450	33	16	M30	42	328	328	380	380	12	67	12
350	355.6	377	580	510	36	16	M33	46	360	381	424	444	12	72	13
400	406.4	426	660	585	39	16	M36¡Á3	50	411	430	478	518	12	78	14
450	457	480	685	610	39	20	M36¡Á3	57	462	485	522	545	12	84	16
500	508	530	755	670	42	20	M39¡Á3	57	513.5	535	576	598	12	90	17
600	610	630	890	795	48	20	M45¡Á3	72	616.5	636	686	706	12	100	18
