10	0.6	0.5	0.5	0.5	0.5	0.5	0.04	1.0	-	-	-
15	0.5	0.5	1.0	0.5	0.5	0.5	0.06	1.0	-	-	-
20	1.0	1.0	1.0	1.0	1.0	1.0	0.09	1.0	-	-	-
25	1.0	1.5	1.0	1.5	1.5	1.0	0.14	1.5	-	-	-
32	2.0	2.0	2.0	2.0	2.0	2.0	0.18	2.0	-	-	-
40	2.0	2.0	2.0	2.0	2.0	2.0	0.22	2.5	2.4	0.13	0.43
50	2.5	3.0	3.0	3.0	3.0	2.5	0.32	3.0	3.2	0.18	0.60
65	3.5	4.0	4.0	-	4.0	3.5	0.43	4.5	4.3	0.26	0.87
80	4.5	4.5	5.0	-	4.5	4.0	0.61	5.5	5.6	0.33	1.11
100	6.0	6.5	6.5	-	6.5	6.0	0.93	7.5	7.6	0.47	1.58
125	8.0	8.5	9.0	-	8.5	8.0	1.30	11.0	10.8	0.64	2.13
150	10.5	11.0	11.5	-	11.0	10.0	1.90	14.5	14.6	0.86	2.88
200	18.0	18.5	21.0	-	-	17.5	4.20	29.0	27.2	1.96	4.90
250	29.5	28.5	34.0	-	-	28.5	6.84	44.5	44.4	2.85	7.12
300	41.5	41.5	47.5	-	-	40.5	10.28	64.0	64.1	5.10	10.2
350	62.0	60.0	69.0	-	-	60.8	14.28	89.5	89.5	6.52	13.0
400	89.5	83.5	98.0	-	-	88.0	22.69	127.0	126.7	8.82	17.6
450	91.5	87.5	105.1	-	-	90.0	26.57	154.0	154.1	9.66	19.3
500	120.5	107.5	130.5		-	118.0	34.73	188.0	187.8	14.0	23.3
600	189.5	176.0	211.5	-	-	186.0	51.74	331.0	331.0	20.0	33.3
