10	17.2	14	75	50	11	4	M10	12	18	15	25	25	4	20	0
15	21.3	18	80	55	11	4	M10	12	22.5	19	30	30	4	20	0
20	26.9	25	90	65	11	4	M10	14	27.5	26	40	40	4	24	0
25	33.7	32	100	75	11	4	M10	14	34.5	33	50	50	4	24	0
32	42.4	38	120	90	14	4	M12	14	43.5	39	60	60	6	26	0
40	48.3	45	130	100	14	4	M12	14	49.5	46	70	70	6	26	0
50	60.3	57	140	110	14	4	M12	14	61.5	59	80	80	6	28	0
65	76.1	76	160	130	14	4	M12	14	77.5	78	100	100	6	32	0
80	88.9	89	190	150	18	4	M16	16	90.5	91	110	110	8	34	0
100	114.3	108	210	170	18	4	M16	16	116	110	130	130	8	40	0
125	139.7	133	240	220	18	8	M16	18	143.5	135	160	160	8	44	0
150	168.3	159	265	225	18	8	M16	18	170.5	161	185	185	10	44	0
200	219.1	219	320	280	18	8	M16	20	221.5	222	240	240	10	44	0
250	273	273	375	335	18	12	M16	22	276.5	276	295	295	12	44	0
300	323.9	325	440	395	22	12	M20	22	328	328	355	355	12	44	0
