10	17.2	14	90	60	14	4	M12	14	18	15	0
15	21.3	18	95	65	14	4	M12	14	22.5	19	0
20	26.9	25	105	75	14	4	M12	16	27.5	26	0
25	33.7	32	115	85	14	4	M12	16	34.5	33	0
32	42.4	38	140	100	18	4	M16	18	43.5	39	0
40	48.3	45	150	110	18	4	M16	18	49.5	46	0
50	60.3	57	165	125	18	4	M16	19	61.5	59	0
65	76.1	76	185	145	18	8	M16	20	77.5	78	0
80	88.9	89	200	160	18	8	M16	20	90.5	91	0
100	114.3	108	220	180	18	8	M16	22	116	110	0
125	139.7	133	250	210	18	8	M16	22	143.5	135	0
150	168.3	159	285	240	22	8	M20	24	170.5	161	0
200	219.1	219	340	295	22	8	M20	24	221.5	222	0
250	273	273	395	350	22	12	M20	26	276.5	276	0
300	323.9	325	445	400	22	12	M20	26	328	328	0
350	355.6	377	505	460	22	16	M20	28	360	381	0
400	406.4	426	565	515	26	16	M24	32	411	430	0
450	457	480	615	565	26	20	M24	36	462	485	0
500	508	530	670	620	26	20	M24	38	513.5	535	0
600	610	630	780	725	30	20	M27	42	616.5	636	0
