10	17.2	14	100	70	14	4	M12	20	32	32	2.0	6	4	45
15	21.3	18	105	75	14	4	M12	20	34	34	2.0	6	4	45
20	26.9	25	130	90	18	4	M16	24	42	42	2.9	6	4	52
25	33.7	32	140	100	18	4	M16	24	52	52	2.9	8	4	58
32	42.4	38	155	110	22	4	M20	28	60	60	3.6	8	5	60
40	48.3	45	170	125	22	4	M20	28	70	70	3.6	10	6	64
50	60.3	57	195	145	26	4	M24	30	90	90	4	10	6	75
65	76.1	76	220	170	26	8	M24	34	108	108	5	12	6	82
80	88.9	89	230	180	26	8	M24	36	120	120	6.3	12	8	86
100	114.3	108	265	210	30	8	M37	40	150	150	8	12	8	100
125	139.7	133	315	250	33	8	M30	44	180	180	10	14	8	115
150	168.3	159	355	290	33	12	M30	50	210	210	12.5	14	10	128
200	219.1	219	430	360	36	12	M33	60	278	278	16	16	10	140
250	273	273	515	430	42	12	M39¡Á3	68	340	340	20	18	12	155
300	323.9	325	585	500	42	16	M39¡Á3	78	400	400	22.2	18	12	175
